,MTI1,MTI2,MTI3
1950,3.70391,,
1951,3.70819,,
1952,3.70819,,
1953,3.70819,,
1954,3.70819,,
1955,3.70391,,
1956,3.70107,,
1957,3.70819,,
1958,3.71246,,
1959,3.7153,,
1960,3.7153,,
1961,3.71246,,
1962,3.70819,,
1963,3.70391,,
1964,3.70107,,
1965,3.66975,4.12074,
1966,3.60285,4.08949,
1967,3.52883,4.0625,
1968,3.46335,4.03125,
1969,3.39359,3.88778,4.37216
1970,3.28114,3.71023,4.28267
1971,3.21423,3.60085,4.21307
1972,3.11744,3.47301,4.14063
1973,3.08612,3.39915,4.14773
1974,3.04057,3.32244,4.15199
1975,2.97367,3.23295,4.16335
1976,2.97367,3.24148,4.1946
1977,2.98505,3.23722,4.21307
1978,2.95516,3.21307,4.18324
1979,2.94662,3.21023,4.17472
1980,2.97794,3.22585,4.17898
1981,2.9153,3.15909,4.17472
1982,2.86975,3.11648,4.19744
1983,2.84982,3.07813,4.21023
1984,2.81139,3.03977,4.21733
1985,2.75302,2.98864,4.22585
1986,2.70605,2.93466,4.25568
1987,2.679,2.89205,4.28267
1988,2.63203,2.86506,4.2983
1989,2.60925,2.82244,4.29545
1990,2.60925,2.8267,4.28693
1991,2.61637,2.83807,4.28693
1992,2.6363,2.8608,4.28267
1993,2.64769,2.87642,4.29119
1994,2.66762,2.88778,4.29545
1995,2.67046,2.89631,4.32244
1996,2.66335,2.88494,4.31818
1997,2.64342,2.86506,4.31818
1998,2.62491,2.84517,4.32528
1999,2.62491,2.84517,4.31818
2000,2.63203,2.85369,4.32528
2001,2.64342,2.86506,4.30682
2002,2.67046,2.89205,4.29545
2003,2.69893,2.92756,4.28267
2004,2.72598,2.95455,4.25994
2005,2.74164,2.97017,4.25284
2006,2.78719,3.01278,4.24858
2007,2.81851,3.04688,4.25284
2008,2.82705,3.05824,4.25284
2009,2.82989,3.06676,4.25284
2010,2.8427,3.07386,4.26131
2011,2.83416,3.06676,4.2642
2012,2.80712,3.03125,4.26847
2013,2.78434,3.01278,4.27557
2014,2.78719,3.01989,4.28693
2015,2.78719,3.01278,4.29119
2016,2.80285,3.02415,4.2983
2017,2.82278,3.0554,4.31108
2018,2.85409,3.08239,4.31108
2019,2.85694,3.08949,4.31818
